word,ipa,swahili_gloss,swahili_pos,english_gloss,english_pos,line_no
gete,ɣ ete,,,,,2563
geticha,ɣ et ʹ i ʧ a,huzuia,kt,it blocks,v,2564
geticha,ɣʹ eti ʧ a,,,,,2565
getichera,ɣ eti ʧ e ɾ a,,,,,2566
geticherera,ɣ eti ʧ e ɾ e ɾ a,,,,,2567
getii,ɣ eti:,,,,,2568
malishoni,,,,,,2568
getirianda,ɣ eti ʧeɾ a,,,,,2569
gechabore,,,,,,2569
getonere,ɣe t ɔ n ɛɾɛ,,,,,2570
getonere,ɣ et ɔ :n ɛɾɛ,"kitamani, kutamani kitu",kt,make one to desire something,v,2571
getong’o,ɣ et ɔ ŋg ɔ,,,,,2572
gia,ɣ ia,,,,,2573
gicha,ɣ i: ʧ a,,,,,2574
ginda,ɣ i:nda,doea,kt,linger,v,2575
ginda,ɣ i:nda,gusa,kt,dirty. besmirch,v,2576
gindigwa,ɣ indi ɣ wa,gusishwa,kt,apply,v,2577
gingira,ɣ iŋi ɾ a,nyoa,kt,shave,v,2578
gingira,ɣ iŋi ɾ a,laghai,kt,deceive,v,2579
gioka,ɣ ioka,,,,,2580
gioka,ɣ i ɔ ka,kikawaka,kt,lit,v,2581
gira,ɣ i ɾ a,,,,,2582
kata,,,,,,2582
boycott,,,,,,2582
gira,ɣ i: ɾ a,,,,,2583
giramora,ɣ i ɾ amo ɾ a,,,,,2584
giramorani,ɣ i ɾ amo ɾ ani,toana jasho,kt,make each other sweat,v,2585
giramoria,ɣ i ɾ amo ɾ ia,,,,,2586
giramorigwa,,,,,,2586
girigeria,ɣ i ɾ i ɣɛɾ ia,limbika,kt,stint,v,2587
gita,ɣ ita,,,,,2588
gita,ɣ ita,,,,,2589
gitera,ɣ ite ɾ a,,,,,2590
gitera .,ɣ ite ɾ a,,,,,2591
gitera .,ɣ ite ɾ a,,,,,2592
give,,,,,,2592
gobora,ɣɔꞵɔɾ a,chokoa,kt,pick teeth,v,2593
gobora,ɣɔꞵɔɾ a,,,,,2594
goborua,ɣɔꞵɔɾ wa,chokoleshwa,kt,retribution,v,2595
gocha,ɣ o ʧ a,,,,,2596
gocha,ɣɔʧ a,kwaa,kt,Stumble,v,2597
gocha,ɣ o: ʧ a,unda,kt,"make from, newfangle",v,2598
gochabera,ɣ o ʧ a ꞵ e ɾ a,Kunadi,kt,"decorate , adorn",v,2599
gochengeria,ɣ o ʧ eŋe ɾ ia,,,,,2600
gochera,ɣ o ʧ e ɾ a,,,,,2601
gochera,ɣɔʧɛɾ a,,,,,2602
gochia,ɣ o ʧ ia,,,,,2603
kuenda,,,,,,2603
gochia,,,,,,2603
gochia,,,,,,2603
gochia,,,,,,2603
gochia,,,,,,2603
gochia,,,,,,2603
gochia,,,,,,2603
gochia,,,,,,2603
inwards,,,,,,2603
gochia,,,,,,2603
gochia,,,,,,2603
aroka,,,,,,2603
gochia,,,,,,2603
gochobera,ɣɔʧɔꞵɛɾ a,,,,,2604
gochobera,ɣɔʧɔꞵɛɾ a,,,,,2605
goika,ɣ oika,shuka.teremka,kt,come down.alight or descend,v,2606
goika,ɣ oika,,,,,2607
goika,ɣ oika,,,,,2608
goka,ɣ o:ka,ng’oka,kt,become unfixed,v,2609
goka,ɣ o:ka,,,,,2610
goka,ɣɔ :ka,furahi,kt,be happy,v,2611
gokera,ɣ o:k ɛɾ a,furahia,kt,be happy for,v,2612
gokora,ɣ oko ɾ a,ng’oa,kt,unfix,v,2613
gokora,,,,,,2613
gonkia,ɣɔ :nkia,,,,,2614
gonkia,ɣɔ :nkia,nyonyesha,kt,suckle,v,2615
goragora,ɣɔ : ɾ a ɣɔ : ɾ a,,,,,2616
gosaba,ɣ osa ꞵ a,,,,,2617
kufanya,,,,,,2617
kusali,,,,,,2617
to,,,,,,2617
goserorerana,ɣ ose ɾ o ɾ e ɾ ana,pakuliana chakula,kt,serving each other food,v,2618
gosiira,ɣ osi: ɾ a,toa msaada,kt,to help,v,2619
gosereria,ɣɔ s ɛɾɛɾ ia,fukuzia,kt,chase for,v,2620
gosoroma,ɣɔ s ɔɾɔ ma,azima,kt,borrow,v,2621
gota,ɣɔ ta,zeeka,kt,grow old,v,2622
gotaborerana,ɣ ota ꞵ o ɾ e ɾ ana,mnyoleana au toleana ndizi kutoka kwa chane,kt,pluck. dole out such as of bananas,v,2623
gotera,ɣɔ t ɛɾ a,,,,,2624
get,,,,,,2624
gouterera,ɣ oute ɾ e ɾ a,"fitinisha, hamakisha au chonganisha",kt,fire up.agitate,v,2625
gundia,ɣ undia,fanya kitu kioze,kt,make delay or rot,v,2626
gunkwara,ɣ unkwa ɾ a,,,,,2627
balloon,,,,,,2627
curve,,,,,,2627
Gusii,ɣ usi:,,,,,2628
gwaaa !,ɣ w ʹ a:,,,,,2629
gwaaa !,ɣ w ˋ a:,,,,,2630
gwancha kianda gia ikomi,ɣ wan ʧ akianda ɣ iaikomi,penda sana,kt,have great love,v,2631
guatogeka,ɣ wa:to ɣ eka,tamkwa,kt,pronounceable,v,2632
gue -,ɣ we,,,,,2633
kwa-,,,,,,2633
cha-,,,,,,2633
guera,ɣ we ɾ a,toshea,kt,suffice,v,2634
iguera,i ɣ we ɾ a,,,,,2640
ikomi,ikomi,,,,,2641
"kumi na nne.fourteen. enamba ere bosio ase ikomi na echingwanse isato,magega ase ikomi na echingwanse isano ase omobaro. ikomi na echingwanse isano",,,,,,2641
eyemo,,,,,,2641
ibere,,,,,,2641
isato,,,,,,2641
imaanore,im ʹ a:no ɾ e,,,,,2642
imaanore,,,,,,2642
imaanorere,,,,,,2642
imaanorie,,,,,,2642
imanoorie,,,,,,2642
imanore,imano ɾ e,,,,,2643
imanorere,ima:no ɾ e ɾ e,,,,,2645
imanorie,imano ɾ ie,,,,,2646
imbagekie,imba ɣ ekie,,,,,2647
imbarabare,imba ɾ a ꞵ a ɾɛ,,,,,2648
imbarabare,imba ɾ a ꞵ a ɾ e,,,,,2649
imbere,imb ɛ : ɾɛ,,,,,2650
imbere,imb ɛ : ɾɛ,,,,,2651
imbereo,imb ɛ : ɾɛɔ,,,,,2652
imberete,imb ɛ : ɾɛ t ɛ,,,,,2653
imbenore,imbeno ɾ e,,,,,2654
imenterwa,im ɛ :nt ɛɾ wa,,,,,2655
imoki,imoki,,,,,2656
indaira,indai ɾ a,,,,,2657
indanyuoma,inda ɲ woma,,,,,2658
indarie,ʹ inda ɾ ie,,,,,2659
indarie,ind ʹ a ɾ ie,,,,,2660
lay,,,,,,2660
indarie,ind ʹ a: ɾ ie,,,,,2661
inde,inde,,,,,2662
indemere,indeme ɾ e,,,,,2663
indengere,ind ɛ ŋ ɛɾɛ,,,,,2664
indibie,indi ꞵ ie,,,,,2665
indie,indie.,,,,,2666
indimerie,indime ɾ ie,,,,,2667
indimerie,indime ɾ ie,,,,,2668
indimie,indimie,,,,,2669
indorie,ind ɔɾ ie,,,,,2670
indorie,indo ɾ ie,,,,,2671
ing’iranere,iŋg iɾ ane ɾi e,,,,,2672
ing’iranere,iŋgi ɾ ane ɾ e,,,,,2673
ing’iranere,iŋgi ɾ ane ɾ e,,,,,2674
ingoika,iŋoika,,,,,2675
ingokora,iŋoko ɾ a,,,,,2676
ingokora,iŋ ɔ k ɔɾ a,,,,,2677
inkainyora,inkai ɲ o ɾ a,,,,,2678
inkamanya,inkama ɲ a,,,,,2679
ikaransa,ika ɾ ansa,,,,,2680
ikaransa,ika ɾ ansa,,,,,2681
inkeiraneria,inkei ɾ ane ɾ ia,,,,,2682
inkerengereria,ink ɛɾɛ ŋ ɛɾɛɾ ia,,,,,2683
inkogotie,inko ɣ otie,,,,,2684
inkoigwa,inkoi ɣ wa,,,,,2685
inkoira,inkoi ɾ a,,,,,2686
inkoirana,inkoi ɾ ana,,,,,2687
inkoirurukigua,inkoi ɾ u ɾ uki ɣ wa,,,,,2688
inkorie,inko ɾ ie,,,,,2689
inkorie,inko ɾ ie,,,,,2690
inkorie,inko ɾ ie,,,,,2691
inkorore,ink ɔɾɔɾɛ,,,,,2692
inkorore,ink ɔɾɔɾɛ,,,,,2693
inkure,inku: ɾ e,,,,,2694
inkure,inku ɾ e,,,,,2695
i nkurure,inku ɾ u ɾ e,,,,,2696
insa,insa,,,,,2697
insa,insa,saa,nmn,Time. hour,n,2698
inye,i ɲɛ,,,,,2699
ere,,,,,,2699
ira,i ɾ a,,,,,2700
irera,,,,,,2700
ira,,,,,,2700
ira,,,,,,2700
ira,,,,,,2700
ira,,,,,,2700
ira,,,,,,2700
ira,,,,,,2700
ira,,,,,,2700
ira,,,,,,2700
ira,i ɾ a,,,,,2701
irera,,,,,,2701
to,,,,,,2701
irerwa,,,,,,2701
ira,i: ɾ a,,,,,2702
i rana,i ɾ ana,,,,,2703
irianyi,i ɾ ia ɲ i,,,,,2704
irianyi ya bosongo,i ɾ i aɲ ija ꞵ osoŋo,,,,,2705
irianyi ya mocha,i ɾ ia ɲ ijamo ʧ a,,,,,2706
iroka,i ɾ oka,,,,,2707
irokana,i ɾ okana,,,,,2708
irora,i ɾ o ɾ a,,,,,2709
irorera,i ɾ o ɾ e ɾ a,,,,,2710
irura,i ɾ u ɾ a,,,,,2711
iruruka,i ɾ u ɾ uka,,,,,2712
irurukania,i ɾ u ɾ ukania,,,,,2713
irurukeria,i ɾ u ɾ uke ɾ ia,peperushia,kt,fly for,v,2714
irurukia,i ɾ u ɾ ukia,peperusha,kt,fly,v,2715
isaneka,isaneka,,,,,2716
isanekania,isanekania,,,,,2717
isanekia,isanekia,,,,,2718
isano,isan ɔ,,,,,2719
tano,,,,,,2719
isano n’emo,isan ɔ n ɛ m ɔ,,,,,2720
isano na isato,isan ɔ naisato,,,,,2721
isamarere,isama ɾ e ɾ e,,,,,2722
isato,isato,,,,,2723
itorora,itorora,,,,,2724
itororera,itororera,,,,,2725
itororoka,itororera,"yakatiririka, chiririka, churura, derereka, dondoka,",kt,"trickle, drip it poured",v,2726
agaitororoka,,"yakatiririka, chiririka, churura, derereka, dondoka,",kt,"trickle, drip it poured",v,2726
agaitororoka,,"yakasisimuka, shtua, mstuko, sisimusha, dharuba",kt,"to be shocked, startled, surprise",v,2726
iya,ija,,,,,2727
ka-ng’o?,kaŋgo,,,,,2733
kabuna,ka ꞵ una,gavana,nmn,governor,n,2734
kaki,kaki,,,,,2735
kani,kani,,,,,2736
kara,ka ɾ a,,,,,2737
Kayaga,kaja ɣ a,jina la mtu,nmn,person’s name,n,2738
kayaga,kaja ɣ a,,,,,2739
keba,k ɛ β a,,,,,2740
keba,k ɛ βa,,,,,2741
keba,k ɛ βà,,,,,2742
snip,,,,,,2742
nibble,,,,,,2742
kebana,k ɛ βana,,,,,2743
kebana,keβánà,,,,,2744
kebara,keβa ɾ a,,,,,2745
loo,,,,,,2745
kebara,keβá ɾ à,,,,,2746
Kebata,k ɛ βata,,,,,2747
kebatema,keβat ɛ :ma,,,,,2748
kebe,k ɛ β ɛ,,,,,2749
kebe,,,,,,2749
kebee,k ɛ β ɛ :.,,,,,2750
(=,,,,,,2750
kebee .,keβe:,,,,,2751
kebene,keβénè,,,,,2752
kebene,k ɛ β ɛ n ɛ,,,,,2753
kebindi,keβi:ndi,,,,,2754
Kebindi,k ʹ eβi:ndi,,,,,2755
keboiseke,keβoisekè,,,,,2756
kebomuanyabanto,keβ ɔ mwa ɲ a ꞵ anto,,,,,2757
kebonde,keβo:nde,,,,,2758
kebonyangongo,keβo ɲ aŋ ɔ ŋ ɔ,,,,,2759
kee,k ɛ :,,,,,2760
keeria,ke: ɾ ia,,,,,2761
keira,kei ɾ a,,,,,2762
keirana,kei ɾ ana,,,,,2763
keire,kei ɾ e,,,,,2764
keire,kei ɾ e,,,,,2765
kebomoyo,k ɛꞵɔ m ɔ: j ɔ,,,,,2766
kebomoyo,k ɛꞵɔ m ɔ :j ɔ,,,,,2767
kenga,ke:ŋa,,,,,2768
kenga,ke:ŋa,,,,,2769
kenga,ke:ŋa,,,,,2770
keria,ke ɾ ia,,,,,2771
keria,ke ɾ ia,,,,,2772
kina,ki:na,,,,,2773
koa,k ɔ a,ert. kupa,kt,nmn. to give,v,2774
koama,koama,,,,,2775
koara,koa ɾ a,gwara,kt,scratch,v,2776
kobera,k ɔ : ꞵɛɾ a,,,,,2777
kobera,ko ꞵ e ɾ a,tokota,kt,to boil,v,2778
kobereria,,,,,,2778
kobera,k ɔꞵɛ : ɾ a,,,,,2779
kobua,ko ꞵ ua,,,,,2780
kobwatachinderu,ko ꞵ wata ʧ ind ɛɾ u,,,,,2781
koetania,koetania,,,,,2782
koetania,koetania,,,,,2783
koetania,koetania,,,,,2784
kogotoonoonigua,k ɔɣɔ t ɔ :n ɔ :ni ɣ wa,,,,,2785
kokogaangaigua,koko ɣ a:ŋai ɣ wa,,,,,2786
komuemoteri,komw ɛ m ɔ t ɛɾ i,,,,,2787
kong’iranere,koŋgi ɾ ane ɾ e,,,,,2788
korende,ko ɾ ende,,,,,2789
korera,k ɔɾɛɾ a,,,,,2790
korera,k ɔɾɛɾ a,,,,,2791
korerera,k ɔɾɛɾɛɾ a,,,,,2792
koreria,ko ɾ e ɾ ia,,,,,2793
korereria,,,,,,2793
koreria,k ɔɾɛɾ ia,,,,,2794
korimera,ko ɾ ime ɾ a,,,,,2795
kemumi,kemumi,,,,,2796
kouterera,koute ɾ e ɾ a,,,,,2797
kuma.,kuma.,julikana. manyekana. agakuma / a ɣ akuma / egkr. alijulikana,kt,became famous,v,2798
agakuma,,alijulikana,kt,became famous,v,2798
kumba.,kumba,,,,,2799
kumbaria.,kumba:ria,,,,,2800
kumbata,ku:mbata,,,,,2801
kumera,ku:mera,,,,,2802
kumia.,kumia,,,,,2803
kundeka,kundeka,,,,,2804
kundeka,kundeka,,,,,2805
kundora,kundo ɾ a,,,,,2806
kuria,ku ɾ ia,,,,,2807
kuruma,ku ɾ uma,,,,,2808
kurura,ku ɾ u ɾ a,,,,,2809
kurura,ku ɾ u ɾ a,,,,,2810
kua,kwa,,,,,2811
kuaa,kwa:,,,,,2812
kuaa,kwa:,,,,,2813
kuaba,kwa ꞵ a,huwa,kt,to become,v,2814
Kwaba,kwa ꞵ a,,,,,2815
kuabo,kwa ꞵɔ,,,,,2816
kuao,kwao,,,,,2817
kuagara,kwa ɣ a ɾ a,,,,,2818
kuanya,kw ʹ a ɲ a,nyakua.bwakua,kt,smuggle,v,2819
kuanya,kwa ɲʹ a,,,,,2820
mabere,maβ ɛ : ɾɛ,,,,,2826
machani kabichi,ma ʧ anika ꞵ i ʧ i,,,,,2827
magunkura,ma ɣ unku ɾ a,kichinichini,nmn,clandestine,n,2828
maiso a bakungu,maisoa ꞵ akuŋu,machweo,kv,dusk,adj,2829
maiso marore,mais ɔ ma ɾɔɾɛ,,,,,2830
mambia,mambia,1 . kesho,kv,tomorrow,adj,2831
chuni,,kesho alfajiri,kv,tomorrow at dawn,adj,2831
enyoni,,,,,,2831
mami sabu,mamisa ꞵ u,,,,,2832
mamincha ya irianyi ya mocha,mamin ʧ ajai ɾ ia ɲ ijamo ʧ a,,,,,2833
manora,ma:no ɾ a,1. funua,kt,reveal,v,2834
operate v. manorwa,,funuliwa,kt,be revealed,v,2834
manorera,,,,,,2834
manora,mano ɾ a,,,,,2835
ng’oa,,nanga,kt,embark (on a journey),n,2835
maraba,ma ɾ a ꞵ a,hudhurungi,nmn,brown,n,2836
Marendi,ma ɾ endi,,,,,2837
mareti,ma ɾ eti,,,,,2838
marigiti,ma ɾ i ɣ iti,sokoni,nmn,market,n,2839
masagiro,masa ɣ i ɾ o,"buku , ndezi",nmn,"jerboa , giant rat",n,2840
masamu,ma:samu,,,,,2841
masentero,mas ɛ nt ɛɾɔ,,,,,2842
masio ombera,masiombe ɾ a,,,,,2843
matibe,mati ꞵ e,kisukari,nmn,diabetes,n,2844
me !,m ɛ,,,,,2845
menta,m ɛ nta,,,,,2846
menterwa,,,,,,2846
mekia,mekia,,,,,2847
menengai,m ɛ n ɛ ŋai,,,,,2848
menya,m ɛɲ a,,,,,2849
menya,m ɛɲ a,,,,,2850
mera,m ɛɾ a,mea,kt,grow,v,2851
mera,me ɾ a,,,,,2852
mera,me ɾ a,,,,,2853
mimintia,mimintia,gugumia.gugumiza,kt,to empty,v,2854
mobucha-ibu,mo ꞵ u ʧ ai ꞵ u,,,,,2855
moba,m ɔꞵ a,mnakuwa,kt,you become,v,2856
mobaso,mo ꞵ aso,mchana,nmn,daytime,n,2857
mobaso,,adhuhuri,nmn,noon,n,2857
mobere,mo ꞵ e ɾ e,,,,,2858
mobere,m ɔꞵɛɾɛ,,,,,2859
mochore,m ɔʧɔɾɛ,,,,,2860
mochoro,mo ʧ o ɾ o,,,,,2861
Mogusii,mo ɣ usi:,mwanzilishi wa jamii ya Abagusii,nmn,forefather of the Abagusii community,n,2862
moguancha,mo ɣ wan ʧ a,saba,nmn,seven,n,2863
moine,moin ɛ,nne,nmn,four,n,2864
moiko,mo i k ɔ,hatima au mwisho,nmn,end of something,n,2865
moka-momura,mokamomu ɾ a,mkazamwana,nmn,daughter in law,n,2866
mokendo,mokendo,,,,,2867
monia,monia,,,,,2868
monyanya,mo ɲ a ɲ a,nane,nmn,eight,n,2869
monyinga,mo ɲ i:ŋa,potevu(mali),nmn,"lost, misused or wasted wealth",n,2870
morangua,mo ɾ aŋwa,,,,,2871
moserengeti,m ɔ s ɛɾɛ ŋ ɛ ti,,,,,2872
mosocho,moso ʧ o,zambarau,nmn,purple,n,2873
motangi,motaŋi,,,,,2874
motasuru,motasu ɾ u,kozi,nmn,pigeon hawk,n,2875
motato,motat ɔ,tano,nmn,five,n,2876
motende ka,m ɔ t ɛ nd ɛ ka,sita,nmn,six,n,2877
motonere,m ɔ t ɔ n ɛɾɛ,mpambe,kt,adorn someone,v,2878
motonere,m ɔ t ɔ :n ɛɾɛ,mtamani mwenzako,kt,desire one near you,v,2879
motono,m ɔ t ɔ n ɔ,kumi,nmn,ten,n,2880
mobere,,kumi na mbili,nmn,twelve,n,2880
mogwancha,,kumi na saba,nmn,seventeen,n,2880
moine,,kumi na nne,nmn,fourteen,n,2880
mokendo,,kumi na tisa,nmn,ninteen,n,2880
monyanya,,kumi na nane,nmn,eighteen,n,2880
motano,,kumi na tano,nmn,fifteen,n,2880
motato,,ekr. kumi na tatu,nmn,kv. thirteen,n,2880
motende,,ekr. kumi na sita,nmn,kv. sixteeen,n,2880
moyemo,,ekr. kumi na moja,nmn,kv. eleven,n,2880
motumbere,motumbe ɾ e,muongezee,kt,add for,v,2881
motumere,motume ɾ e,mrukie,kt,jump on someone,v,2882
moyoyo,mojojo,jambo jepesi,kv,light task,adj,2883
munyia,mu ɲ ia,sengenya au fitini,nmn,backbite,n,2885
mueno,mweno,,,,,2886
muochochi,mwo ʧ o ʧi,,,,,2887
kudokeza,,,,,,2887
na,na,,,,,2893
nay’echingaki,naje ʧ iŋaki,,,,,2894
na ayande,najande,na kadhalika,nmn,et cetra,n,2895
nabote,na ꞵɔ t ɛ,,,,,2896
naende,naende,,,,,2897
nara,na ɾ a,,,,,2898
narerera,na ɾ e ɾ e ɾ a,zoelea,kt,acquaint with,v,2899
ndi !,ndi,sauti inayoashiria giza totoro,kv,description of total darkness,adj,2900
ndindindi !,ndindindi,sauti ya mwigo ya kamba nane ilipokuwa inajaribiwa,kv,"sound made by a harp, when tuning",adj,2901
neba,n ɛ : ꞵ a,,,,,2902
walau,,,,,,2902
falau,,,,,,2902
nengeta,n ɛ ŋ ɛ ta,,,,,2903
nengetana,,,,,,2903
nengetwa,,,,,,2903
nenoria,neno ɾ ia,,,,,2904
ng’a,ŋga,,,,,2905
egere,,,,,,2905
nario,,,,,,2905
nabo,,,,,,2905
boigo,,,,,,2905
ng’akierabe,ŋgakie ɾ a ꞵɛ,,,,,2906
ng’urana,ŋgu ɾ ana,,,,,2907
ng’uria obomera,ŋgu ɾ ia ɔꞵɔ m ɛɾ a,,,,,2908
nguria eero,ŋgu ɾ iae: ɾ o,,,,,2909
ng’urisia,ŋgu ɾ isia,,,,,2910
ng’urisigua,ŋgu ɾ isi ɣ wa,,,,,2911
ng’waa !,ŋgwa:,sauti inayotokana na mwendo wa ndege mkubwa,kv,sound of a flying large bird,adj,2913
no’ogaya,n ɔ : ɣ aja,mahali patulivu,nmn,serene and peaceful environment,n,2914
nonya,n ɔ : ɲ a,,,,,2915
nyabainati - mase,ɲ a ꞵ ainatimas ɛ,ert . malaya,kv,nmn. prostitute,n,2916
nyagecha,ɲ a ɣɛʧ a,jina la utani kwa mwanamke,nmn,derisory term for a lady,n,2917
nyagechuechue,ɲ a ɣ e ʧ w ɛʧ w ɛ,mwanamke anayependa kupiga nduru ovyo,nmn,a rowdy woman,n,2918
omonyagechuechue,,,,,,2918
nyaibu,ɲ ai ꞵ u,ekr. kijivujivu,nmn,kv. grey,n,2919
nyakeburo,ɲ ake ꞵ u ɾ o,kibogoyo,nmn,toothless person,n,2920
nyamani,ɲ amani,,,,,2921
nyamesanchua,ɲ amesan ʧ wa,,,,,2922
Nyandwenyi,ɲ andw ɛɲ i,mwaka 1889 ambapo ng’ombe wengi walikufa,nmn,the year 1889 when there was an outbreak of a deadly cattle disease,n,2923
nyangumi,ɲ aŋumi,,,,,2924
nyara,ɲ a ɾ a,weza,kt,be able.to succeed v . okobua.okobichoka ase ogokora egento gete e.e. Mecha nabo akonyara korosia enchengeria y’omogusii. nyarwa / ɲ a ɾ wa/. egkr. wezwa kt. be overcome,v,2925
nyarwa,,wezwa,kt,be overcome,v,2925
nyiera,ɲ ie ɾ a,machwea ya jua,kh,sunset(direction),prep,2926
nyiroria,ɲ a ɾ o ɾ ia,topoa,kt,escape narrowly,v,2927
nyora,ɲɔɾ a,,,,,2928
find v. nyora omwana,,zaa,kt,give birth,v,2928
enyangi,,funga ndoa,kt,wed,v,2928
- nyua,ɲ wa,,,,,2929
nyuee !,ɲ we:,,,,,2930
nyuera,ɲ we :ɾ a,nywea,kt,be absorbed,v,2931
nyuera,ɲ we: ɾ a,,,,,2932
obiso,oβi:s ɔ,macho vikombe,nmn,a person with small eyes,n,2938
oboaateri,oβoa:te ɾ i,hali ya kuficha kitu,nmn,hiding of something,n,2939
oboarigania,oβoa ɾ i ɣ ania,mwaliko,nmn,usher or invitation,n,2940
oboba,ɔ β ɔ :βa,uyoga,nmn,mushroom,n,2941
obobaari,oβoβa: ɾ i,upasuaji,nmn,surgery or operation,n,2942
obobasagania,oβoβasa ɣ ania,,,,,2943
obobe,oβoβe,ubaya,nmn,badness,n,2944
obogima,,,,,,2944
obobene,ɔ β ɔ β ɛ :n ɛ,upweke,nmn,loneliness,n,2945
obobisa,oβoβisa,uadui,nmn,enemity,n,2946
obobui,oβoβui,ushindi,nmn,victory,n,2947
obobuatero,oβoβwa:t ɔ,shikio,nmn,holder or handler,n,2948
obobwato,oβoβwa:t ɔ,vijipaja,nmn,small thighs,n,2949
obobueria,oβoβw ɛɾ ia,,,,,2950
spliting,,,,,,2950
obochage,oβo ʧ a ɣ e,ndizi ambayo haijakomaa,nmn,immature banana,n,2951
obochage,oβ ɔʧ a ɣ e,hali ya kuwa na wake wengi,nmn,polygamy,n,2952
obochanchaboki,oβo ʧ an ʧ aβoki,uzee,nmn,ageing,n,2953
ekegotu,,,,,,2953
obocharia,oβo ʧ a ɾ ia,chambo,nmn,bait,n,2954
obochege,ɔ β ɔʧɛɣɛ,vipele,nmn,pimples,n,2955
obochichiba,ɔ β ɔʧɪ : ʧɪ βa,,,,,2956
obochobereri,ɔ β ɔʧɔ β ɛɾɛɾi,ustawishaji,nmn,establishment,n,2957
obochurubei,oβo ʧ u ɾ uβei,umajimaji,nmn,wateriness,n,2958
obochueria,oβo ʧ w ɛɾ ia,mraruo,nmn,tearing,n,2959
oboembeki,ɔ β ɔɛ mb ɛ ki,uaili,nmn,blame,n,2960
oboendegeri,ɔ β ɔɛ nd ɛɣɛɾ i,mchachato chachato,nmn,slow walk,n,2961
oboetanano,o ꞵ oetanano,mduara,nmn,circle,n,2962
obogaang a,oβo ɣ a:ŋa,ufisadi,nmn,corruption,n,2963
obogara,oβo ɣ a ɾ a,,,,,2964
hali,,,,,,2964
swallowing,,,,,,2964
obogetirianda,oβo ɣ eti ɾ ianda,,,,,2965
"uchi,",,,,,,2965
nakedness,,,,,,2965
obogiata,oβo ɣ iata,umahiri,nmn,skillful,n,2966
obogima,oβo ɣ ima,maisha.uzima,nmn,"to be alive ekerengo ki’obomoyo bw’ebitongwa ase kera ekemo keria gekoeyana, oboikeranu bweng’encho amo n’enchera y’okobao na kogenderera goikera engaki obomoyo botario ime yaito. obogimabw’obotaka ert.egtb .maisha ya umaskini nmn.. kt. living in poverty",n,2967
obogima,,egtb. maisha ya utengamano,nmn,kt. peaceful life,n,2967
obogima,,,,,,2967
obogima,,oro Nyasae buna omogwekano bw’ayubu omouz i ert..egtb . maisha ya kumwogopa mungu mfano wa Ayubu Muuzi,nmn,kt. God fearing kind of life like that of Job of the land of Uz,n,2967
obogisangio,oβo ɣ isaŋi ɔ,,,,,2969
cooperation,,,,,,2969
obogotu,ɔβɔɣɔt u,,,,,2970
old-age,,,,,,2970
oboguka,oβo ɣ uka,hali ya kuwa kinamizi,nmn,having a bent back or stoop,n,2971
oboguenia,oβo ɣ w ɛ nia,,,,,2972
treatment,,,,,,2972
oboguono,oβo ɣ wo:no,uzuzu,nmn,Idiocy,n,2973
oboia,ɔ β ɔ ia,ogofya,kv,scares,v,2974
oboichire,oβoi ʧ i ɾ e,muawana kutoka kwa uliyemsaidia,kt,getting unexpected help from a person you helped,v,2975
oboigatua,o ꞵ oi ɣ atwa,,,,,2976
being,,,,,,2976
oboigotu,o ꞵ oi ɣ otu,,,,,2977
hali,,ya kuridhika,nmn,contentedness,n,2977
oboikaro,o ꞵ oika ɾ o,,,,,2978
aase,,,,,,2978
oboitaai,o ꞵ oita:i,upelelezi,nmn,probe,n,2979
oboiti,o ꞵ oiti,uuaji,nmn,killing or extermination,n,2980
oboitong’o,o ꞵ oit ɔŋɔ,,,,,2981
oboitorooroku,o ꞵ oito ɾ o: ɾ oku,,,,,2982
oboitwania,o ꞵ oitwania,upungufu,nmn,half-fullness,n,2983
obokabara,o ꞵ oka ꞵ a ɾ a,mchezo wa watoto,nmn,children’s play,n,2984
obokama,o ꞵ okama,mifugo ya mtu inayoonyesha utajiri wake,nmn,many cows and other domestic animals owned by one that reflected riches,n,2985
obokangare,o ꞵ okaŋa ɾ e,majani yaliyokatwa na kukauka,nmn,mulch,n,2986
obokang’iti,o ꞵ okaŋgiti,unyeti wa jino,nmn,sensitive teeth,n,2987
obokaya,o ꞵ okaja,,,,,2988
the,,,,,,2988
oboke,o ꞵ o:ke,,,,,2989
oboke,ɔꞵɔ k ɛ,,,,,2990
uchache,,,,,,2990
smallness,,,,,,2990
obokendesu,ɔꞵɔ k ɛ nd ɛ su,wakati wa baridi,nmn,cold,n,2991
koba,,,,,,2991
obokemi,ɔꞵɔ k ɛ mi,wivu,nmn,envy,n,2992
obokenonoku,o ꞵ okenonoku,//mawewa,nmn,cleanliness (esp. of water),n,2993
obokoobi,ɔꞵɔ k ɔ : ꞵ i,msindikizo,nmn,escort,n,2994
obokumbe,o ꞵ okumbe,ukombo,nmn,crookedness,n,2995
obomaame,o ꞵ oma:me,ujomba,nmn,to be in-laws,n,2996
obomanyi,o ꞵ oma ɲ i,,,,,2997
intelligence,,,,,,2997
obomo,ɔꞵɔ m ɔ,umoja,nmn,unity,n,2998
obomoyo,ɔꞵɔ m ɔ j ɔ,,,,,2999
obomuramuru,o ꞵ omu ɾ amu ɾ u,machweo,nmn,dusk,n,3000
obomuabo,o ꞵ omwa ꞵɔ,undugu,nmn,kinship or relation,n,3001
